settlement_id,payment_id,order_id,type,amount,fee,tax,description,created_at,settled_at,method
UTR2024010001,pay_NbX9KL3mQpWr7y,order_NbX8KL2mQpWr7x,PAYMENT,4999.00,99.98,17.99,Payment for #1001,2024-01-05 10:23:11,2024-01-07 09:00:00,upi
UTR2024010001,pay_NcY0ML4nRqXs8z,order_NcY0ML3nRqXs8y,PAYMENT,12500.00,250.00,45.00,Payment for #1002,2024-01-05 11:45:33,2024-01-07 09:00:00,card
UTR2024010001,pay_NdZ1NM5oSrYt9a,order_NdZ1NM4oSrYt9a,PAYMENT,2199.00,43.98,7.92,Payment for #1003,2024-01-05 14:22:05,2024-01-07 09:00:00,upi
UTR2024010001,pay_NeA2ON6pTsZu0b,order_NeA2ON5pTsZu0b,PAYMENT,8750.00,175.00,31.50,Payment for #1004,2024-01-05 16:10:44,2024-01-07 09:00:00,netbanking
UTR2024010002,pay_NfB3PO7qUtAv1c,order_NfB3PO6qUtAv1c,PAYMENT,3499.00,69.98,12.59,Payment for #1005,2024-01-06 09:12:17,2024-01-08 09:00:00,upi
UTR2024010002,pay_NgC4QP8rVuBw2d,order_NgC4QP7rVuBw2d,PAYMENT,6200.00,124.00,22.32,Payment for #1006,2024-01-06 11:30:22,2024-01-08 09:00:00,card
UTR2024010002,pay_NhD5RQ9sWvCx3e,order_NhD5RQ8sWvCx3e,PAYMENT,9999.00,199.98,35.99,Payment for #1007,2024-01-06 13:55:08,2024-01-08 09:00:00,upi
UTR2024010002,pay_NiE6SR0tXwDy4f,,PAYMENT,5500.00,110.00,19.80,Payment - no Shopify order ref,2024-01-06 15:44:33,2024-01-08 09:00:00,card
UTR2024010003,pay_NjF7TS1uYxEz5g,order_NjF7TS0uYxEz5g,PAYMENT,1899.00,37.98,6.83,Payment for #1009,2024-01-07 08:05:19,2024-01-09 09:00:00,upi
UTR2024010003,pay_NkG8UT2vZyFa6h,order_NkG8UT1vZyFa6h,PAYMENT,15000.00,375.00,67.50,Payment for #1010 (high fee charged),2024-01-07 10:22:31,2024-01-09 09:00:00,card
UTR2024010003,pay_NjF7TS1uYxEz5g,order_NjF7TS0uYxEz5g,REFUND,-1899.00,0.00,0.00,Refund for #1009,2024-01-09 11:00:00,2024-01-11 09:00:00,upi
UTR2024010003,pay_NlH9VU3wAzGb7i,order_NlH9VU2wAzGb7i,PAYMENT,4250.00,85.00,15.30,Payment for #1011,2024-01-07 14:40:55,2024-01-09 09:00:00,netbanking
